date,day,year,month_num,month_name,week_num,weekday_num,weekday_name
2025-01-01,2025-01-01,2025,1,Jan,1,3,Wednesday
2025-01-02,2025-01-02,2025,1,Jan,1,4,Thursday
2025-01-03,2025-01-03,2025,1,Jan,1,5,Friday
2025-01-04,2025-01-04,2025,1,Jan,1,6,Saturday
2025-01-05,2025-01-05,2025,1,Jan,1,7,Sunday
2025-01-06,2025-01-06,2025,1,Jan,2,1,Monday
2025-01-07,2025-01-07,2025,1,Jan,2,2,Tuesday
2025-01-08,2025-01-08,2025,1,Jan,2,3,Wednesday
2025-01-09,2025-01-09,2025,1,Jan,2,4,Thursday
2025-01-10,2025-01-10,2025,1,Jan,2,5,Friday
2025-01-11,2025-01-11,2025,1,Jan,2,6,Saturday
2025-01-12,2025-01-12,2025,1,Jan,2,7,Sunday
2025-01-13,2025-01-13,2025,1,Jan,3,1,Monday
2025-01-14,2025-01-14,2025,1,Jan,3,2,Tuesday
2025-01-15,2025-01-15,2025,1,Jan,3,3,Wednesday
2025-01-16,2025-01-16,2025,1,Jan,3,4,Thursday
2025-01-17,2025-01-17,2025,1,Jan,3,5,Friday
2025-01-18,2025-01-18,2025,1,Jan,3,6,Saturday
2025-01-19,2025-01-19,2025,1,Jan,3,7,Sunday
2025-01-20,2025-01-20,2025,1,Jan,4,1,Monday
2025-01-21,2025-01-21,2025,1,Jan,4,2,Tuesday
2025-01-22,2025-01-22,2025,1,Jan,4,3,Wednesday
2025-01-23,2025-01-23,2025,1,Jan,4,4,Thursday
2025-01-24,2025-01-24,2025,1,Jan,4,5,Friday
2025-01-25,2025-01-25,2025,1,Jan,4,6,Saturday
2025-01-26,2025-01-26,2025,1,Jan,4,7,Sunday
2025-01-27,2025-01-27,2025,1,Jan,5,1,Monday
2025-01-28,2025-01-28,2025,1,Jan,5,2,Tuesday
2025-01-29,2025-01-29,2025,1,Jan,5,3,Wednesday
2025-01-30,2025-01-30,2025,1,Jan,5,4,Thursday
2025-01-31,2025-01-31,2025,1,Jan,5,5,Friday
2025-02-01,2025-02-01,2025,2,Feb,5,6,Saturday
2025-02-02,2025-02-02,2025,2,Feb,5,7,Sunday
2025-02-03,2025-02-03,2025,2,Feb,6,1,Monday
2025-02-04,2025-02-04,2025,2,Feb,6,2,Tuesday
2025-02-05,2025-02-05,2025,2,Feb,6,3,Wednesday
2025-02-06,2025-02-06,2025,2,Feb,6,4,Thursday
2025-02-07,2025-02-07,2025,2,Feb,6,5,Friday
2025-02-08,2025-02-08,2025,2,Feb,6,6,Saturday
2025-02-09,2025-02-09,2025,2,Feb,6,7,Sunday
2025-02-10,2025-02-10,2025,2,Feb,7,1,Monday
2025-02-11,2025-02-11,2025,2,Feb,7,2,Tuesday
2025-02-12,2025-02-12,2025,2,Feb,7,3,Wednesday
2025-02-13,2025-02-13,2025,2,Feb,7,4,Thursday
2025-02-14,2025-02-14,2025,2,Feb,7,5,Friday
2025-02-15,2025-02-15,2025,2,Feb,7,6,Saturday
2025-02-16,2025-02-16,2025,2,Feb,7,7,Sunday
2025-02-17,2025-02-17,2025,2,Feb,8,1,Monday
2025-02-18,2025-02-18,2025,2,Feb,8,2,Tuesday
2025-02-19,2025-02-19,2025,2,Feb,8,3,Wednesday
2025-02-20,2025-02-20,2025,2,Feb,8,4,Thursday
2025-02-21,2025-02-21,2025,2,Feb,8,5,Friday
2025-02-22,2025-02-22,2025,2,Feb,8,6,Saturday
2025-02-23,2025-02-23,2025,2,Feb,8,7,Sunday
2025-02-24,2025-02-24,2025,2,Feb,9,1,Monday
2025-02-25,2025-02-25,2025,2,Feb,9,2,Tuesday
2025-02-26,2025-02-26,2025,2,Feb,9,3,Wednesday
2025-02-27,2025-02-27,2025,2,Feb,9,4,Thursday
2025-02-28,2025-02-28,2025,2,Feb,9,5,Friday
2025-03-01,2025-03-01,2025,3,Mar,9,6,Saturday
